Episode,Titre,Date,Note IMDb,Description,Saison
Épisode 23,S4.E23 ∙ The One with Ross's Wedding: Part 1,"jeu., 7 mai 1998","8,6/10",Phoebe tries to help Rachel deal with her feelings for Ross as the rest of the gang head to London for Ross and Emily's wedding.,Saison 4
Épisode 24,S4.E24 ∙ The One with Ross's Wedding: Part 2,"jeu., 7 mai 1998","9,1/10",Phoebe tries to warn the gang that Rachel is coming to London to tell Ross she still loves him. Ross and Emily's parents get into an argument over the bill for the wedding. Monica and Chandler sleep together. The wedding ends with a gaffe.,Saison 4
Épisode 1,S5.E1 ∙ The One After Ross Says Rachel,"jeu., 24 sept. 1998","8,8/10","A humiliated Emily runs away after Ross says Rachel's name at the altar. Meanwhile, Chandler and Monica struggle to get time alone together.",Saison 5
Épisode 2,S5.E2 ∙ The One with All the Kissing,"jeu., 1 oct. 1998","8,9/10",Chandler must constantly kiss the girls to cover up a kiss he gave to Monica to hide their affair. Phoebe gets irritated when the gang constantly talk about London. Rachel puts Monica in charge of her love life. Ross tries to contact Emily.,Saison 5
Épisode 3,S5.E3 ∙ The One Hundredth,"mer., 24 mars 1999","8,7/10","The gang take Phoebe to the hospital after she goes into labor. Monica threatens to go on a date with a male nurse after Chandler claims they are ""just goofing around."" Joey gets treated for kidney stones.",Saison 5
Épisode 4,S5.E4 ∙ The One Where Phoebe Hates PBS,"dim., 18 oct. 1998","8,1/10",Ross finally gets in touch with Emily and they try to work it out. Chandler gloats after Rachel reveals that Monica's secret boyfriend is the best sex she ever had. Phoebe and Joey debate if a selfless good deed exists.,Saison 5
Épisode 5,S5.E5 ∙ The One with the Kips,"jeu., 29 oct. 1998","8,6/10",Chandler and Monica go away for the weekend but spend the entire time fighting. Ross tries to tell Rachel about his agreement with Emily.,Saison 5
Épisode 6,S5.E6 ∙ The One with the Yeti,"jeu., 5 nov. 1998","7,8/10",The gang become frustrated with Emily's demands. Monica and Rachel mistake their new neighbour for a yeti. Phoebe inherits a fur coat.,Saison 5
Épisode 7,S5.E7 ∙ The One Where Ross Moves In,"jeu., 12 nov. 1998","8,1/10",Ross moves in with Chandler and Joey after Emily's cousin kicks him out of his apartment. Phoebe dates a health inspector. Rachel plays hard-to-get with Danny.,Saison 5
Épisode 8,S5.E8 ∙ The One with All the Thanksgivings,"jeu., 19 nov. 1998","9,0/10",The gang remember and share with each other their worst Thanksgivings.,Saison 5
Épisode 9,S5.E9 ∙ The One with Ross's Sandwich,"jeu., 10 déc. 1998","9,0/10",Joey finds himself constantly covering for Chandler and Monica's affair. Ross becomes angry when someone at work eats his sandwich. Phoebe and Rachel enroll in a literature class.,Saison 5
Épisode 10,S5.E10 ∙ The One with the Inappropriate Sister,"jeu., 17 déc. 1998","8,0/10",A bored Ross wreaks havoc in Chandler and Joey's lives. Rachel is uncomfortable with Danny's unusually close relationship with his sister. Phoebe runs into trouble whilst collecting donations for the poor during Christmas.,Saison 5
Épisode 11,S5.E11 ∙ The One with All the Resolutions,"jeu., 7 janv. 1999","9,0/10",The gang make their New Years resolutions. Chandler struggles to not make jokes about everyone. Joey learns how to learn to play the guitar and Rachel decides not to gossip. Ross runs into trouble when he wears leather pants on a date.,Saison 5
Épisode 12,S5.E12 ∙ The One with Chandler's Work Laugh,"jeu., 21 janv. 1999","8,1/10",Monica becomes annoyed at how Chandler sucks up to his boss. Rachel tries to confront Monica about her relationship with Chandler. Ross hooks up with Janice when he finds out Emily is getting married.,Saison 5
Épisode 13,S5.E13 ∙ The One with Joey's Bag,"jeu., 4 févr. 1999","7,9/10","Phoebe's grandmother dies, and Phoebe is shocked when her father turns up at the funeral. Meanwhile, Rachel gives Joey a ""man's bag"" for an audition, and Chandler is scared to tell Monica he doesn't like her massages.",Saison 5
Épisode 14,S5.E14 ∙ The One Where Everybody Finds Out,"jeu., 11 févr. 1999","9,7/10","When Phoebe finds out about Monica and Chandler, she and Rachel attempt to get them to confess their relationship.",Saison 5
Épisode 15,S5.E15 ∙ The One with the Girl Who Hits Joey,"jeu., 18 févr. 1999","8,3/10",Ross makes enemies out of his new neighbors. Chandler freaks out about his relationship with Monica. Joey dates a girl who likes to playfully punch him but she doesn't realize she punches him too hard and Joey is reluctant to tell her.,Saison 5
